Date,Description,Category,Type,Amount
01-03-2024,Monthly Salary,Salary,Income,75000
01-03-2024,Bank Charges,Other,Expense,318
02-03-2024,IndiGo Flight,Travel,Expense,3349
02-03-2024,Myntra,Shopping,Expense,1712
03-03-2024,IndiGo Flight,Travel,Expense,3288
03-03-2024,Yoga Classes,Healthcare,Expense,549
03-03-2024,Metro Card Recharge,Travel,Expense,2770
04-03-2024,Netflix,Entertainment,Expense,389
05-03-2024,Udemy Course,Education,Expense,1271
05-03-2024,Movie Tickets,Entertainment,Expense,111
05-03-2024,Gift for Friend,Other,Expense,214
06-03-2024,Local Cafe,Food & Dining,Expense,212
06-03-2024,BigBasket,Food & Dining,Expense,862
06-03-2024,Local Cafe,Food & Dining,Expense,988
07-03-2024,Coursera,Education,Expense,2599
07-03-2024,Bank Charges,Other,Expense,922
07-03-2024,Medicine,Healthcare,Expense,356
10-03-2024,Zomato Order,Food & Dining,Expense,288
10-03-2024,Gaming,Entertainment,Expense,816
10-03-2024,Swiggy,Food & Dining,Expense,1106
12-03-2024,Myntra,Shopping,Expense,1048
12-03-2024,Health Checkup,Healthcare,Expense,1422
14-03-2024,Health Checkup,Healthcare,Expense,933
14-03-2024,Movie Tickets,Entertainment,Expense,976
15-03-2024,Fuel,Travel,Expense,3153
15-03-2024,Doctor Consultation,Healthcare,Expense,153
17-03-2024,Workshop Fee,Education,Expense,2375
18-03-2024,Misc Expense,Other,Expense,960
18-03-2024,Doctor Consultation,Healthcare,Expense,578
18-03-2024,Medicine,Healthcare,Expense,246
19-03-2024,Zomato Order,Food & Dining,Expense,287
19-03-2024,Apollo Pharmacy,Healthcare,Expense,1848
22-03-2024,Local Cafe,Food & Dining,Expense,1294
22-03-2024,Grocery Store,Food & Dining,Expense,582
22-03-2024,Gift for Friend,Other,Expense,857
23-03-2024,IndiGo Flight,Travel,Expense,1330
23-03-2024,Netflix,Entertainment,Expense,866
24-03-2024,Books,Education,Expense,1040
28-03-2024,Cult.fit Gym,Healthcare,Expense,962
30-03-2024,Train Ticket,Travel,Expense,2179
30-03-2024,Ola Cab,Travel,Expense,3419
31-03-2024,Jio Internet,Utilities,Expense,1431
01-04-2024,Monthly Salary,Salary,Income,75000
01-04-2024,Misc Expense,Other,Expense,816
06-04-2024,Books,Education,Expense,2716
06-04-2024,College Fee,Education,Expense,202
06-04-2024,Amazon Purchase,Shopping,Expense,776
07-04-2024,Uber Ride,Travel,Expense,1056
07-04-2024,H&M,Shopping,Expense,582
08-04-2024,Electricity Bill,Utilities,Expense,1633
09-04-2024,IndiGo Flight,Travel,Expense,4569
10-04-2024,Grocery Store,Food & Dining,Expense,1255
11-04-2024,Yoga Classes,Healthcare,Expense,811
11-04-2024,Misc Expense,Other,Expense,546
11-04-2024,Train Ticket,Travel,Expense,2261
13-04-2024,IPL Tickets,Entertainment,Expense,959
17-04-2024,Netflix,Entertainment,Expense,341
17-04-2024,H&M,Shopping,Expense,3895
17-04-2024,Gas Cylinder,Utilities,Expense,309
20-04-2024,Swiggy,Food & Dining,Expense,893
20-04-2024,Local Cafe,Food & Dining,Expense,618
20-04-2024,Uber Ride,Travel,Expense,4714
21-04-2024,DTH Recharge,Utilities,Expense,2133
21-04-2024,Jio Internet,Utilities,Expense,853
27-04-2024,Notes Printing,Education,Expense,2050
01-05-2024,Monthly Salary,Salary,Income,75000
01-05-2024,Medicine,Healthcare,Expense,406
03-05-2024,College Fee,Education,Expense,1075
03-05-2024,Gift for Friend,Other,Expense,1280
03-05-2024,DTH Recharge,Utilities,Expense,1667
08-05-2024,Cult.fit Gym,Healthcare,Expense,146
20-05-2024,Netflix,Entertainment,Expense,1084
20-05-2024,Jio Internet,Utilities,Expense,1294
22-05-2024,Vi Recharge,Utilities,Expense,1988
22-05-2024,Uber Ride,Travel,Expense,1101
23-05-2024,Udemy Course,Education,Expense,1411
25-05-2024,H&M,Shopping,Expense,3878
25-05-2024,Workshop Fee,Education,Expense,1824
26-05-2024,Yoga Classes,Healthcare,Expense,1069
26-05-2024,Water Bill,Utilities,Expense,1212
26-05-2024,IPL Tickets,Entertainment,Expense,1571
28-05-2024,Books,Education,Expense,775
28-05-2024,BigBasket,Food & Dining,Expense,588
31-05-2024,Flipkart,Shopping,Expense,1687
31-05-2024,Spotify,Entertainment,Expense,172
01-06-2024,Monthly Salary,Salary,Income,75000
03-06-2024,Freelance Project,Freelance,Income,16595
01-06-2024,Movie Tickets,Entertainment,Expense,547
03-06-2024,Swiggy,Food & Dining,Expense,367
03-06-2024,Medicine,Healthcare,Expense,913
03-06-2024,Medicine,Healthcare,Expense,622
04-06-2024,College Fee,Education,Expense,2414
05-06-2024,Vi Recharge,Utilities,Expense,2238
07-06-2024,Flipkart,Shopping,Expense,892
07-06-2024,Ola Cab,Travel,Expense,2053
07-06-2024,Movie Tickets,Entertainment,Expense,808
09-06-2024,Jio Internet,Utilities,Expense,686
10-06-2024,Books,Education,Expense,1565
10-06-2024,Books,Education,Expense,3011
10-06-2024,Misc Expense,Other,Expense,418
